mcap_rank,code,name,market,market_cap,close,volume,value_krw
284,166090,하나머티리얼즈,,1076351399231,53400,108255,5780817000
285,000210,DL보통주,,1064219033444,46700,46187,2156932900
286,012630,HDC보통주,,1054386157608,21150,24109,509905350
287,000080,하이트진로보통주,,1049009459085,15240,69302,1056162480
288,003380,하림지주,,1041667206345,10580,423369,4479244020
289,003530,한화투자증권보통주,,1036932952280,4870,6991587,34049028690
290,032350,롯데관광개발 보통주,,1031647502441,12750,319211,4069940250
291,476830,알지노믹스,,1026924133682,30150,778400,23468760000
292,451800,한화리츠보통주,,1018332034607,5480,84854,464999920
293,077970,STX엔진보통주,,1007483057785,23450,189724,4449027800
294,001820,삼화콘덴서공업보통주,,1001473568726,90600,313545,28407177000
295,036540,에스에프에이반도체,,993627877808,5560,1331379,7402467240
296,115180,큐리언트,,977057647324,24800,161311,4000512800
297,195870,해성디에스보통주,,952000000000,52100,100560,5239176000
298,293490,카카오게임즈,,949844586411,8510,410284,3491516840
299,005300,롯데칠성음료보통주,,945313301742,96600,18433,1780627800
300,009450,경동나비엔보통주,,937995248127,63300,39679,2511680700
